Anno,Tipo variazione,Codice Regione,Codice Unità territoriale sovracomunale,Codice Comune formato alfanumerico,Denominazione Comune,Codice Regione associato alla variazione,Codice Unità territoriale sovracomunale associato alla variazione,Codice del Comune associato alla variazione o nuovo codice Istat del Comune ,Denominazione Comune associata alla variazione o nuova denominazione,Provvedimento e Documento,Contenuto del provvedimento,Data decorrenza validità amministrativa,Flag_note
1992,AP,1,2,2149,Trivero,1,96,96070,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2151,Valdengo,1,96,96071,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2153,Vallanzengo,1,96,96072,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2154,Valle Mosso,1,96,96073,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2155,Valle San Nicolao,1,96,96074,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2157,Veglio,1,96,96075,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2159,Verrone,1,96,96076,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2160,Vigliano Biellese,1,96,96077,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2161,Villa del Bosco,1,96,96078,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2162,Villanova Biellese,1,96,96079,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2165,Viverone,1,96,96080,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2167,Zimone,1,96,96081,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2168,Zubiena,1,96,96082,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2169,Zumaglia,1,96,96083,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,3,3003,Antrona Schieranco,1,103,103001,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3004,Anzola d'Ossola,1,103,103002,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3005,Arizzano,1,103,103003,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3007,Arola,1,103,103004,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3009,Aurano,1,103,103005,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3010,Baceno,1,103,103006,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3011,Bannio Anzino,1,103,103007,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3013,Baveno,1,103,103008,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3014,Bee,1,103,103009,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3015,Belgirate,1,103,103010,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3017,Beura-Cardezza,1,103,103011,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3020,Bognanco,1,103,103012,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3028,Brovello-Carpugnino,1,103,103013,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3029,Calasca-Castiglione,1,103,103014,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3031,Cambiasca,1,103,103015,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3033,Cannero Riviera,1,103,103016,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3034,Cannobio,1,103,103017,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3035,Caprezzo,1,103,103018,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3038,Casale Corte Cerro,1,103,103019,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3046,Cavaglio-Spoccia,1,103,103020,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3048,Ceppo Morelli,1,103,103021,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3050,Cesara,1,103,103022,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3053,Cossogno,1,103,103023,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3054,Craveggia,1,103,103024,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3056,Crevoladossola,1,103,103025,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3057,Crodo,1,103,103026,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3059,Cursolo-Orasso,1,103,103027,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3061,Domodossola,1,103,103028,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3063,Druogno,1,103,103029,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3064,Falmenta,1,103,103030,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3067,Formazza,1,103,103031,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3072,Germagno,1,103,103032,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3074,Ghiffa,1,103,103033,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3075,Gignese,1,103,103034,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3078,Gravellona Toce,1,103,103035,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3080,Gurro,1,103,103036,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3081,Intragna,1,103,103037,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3085,Loreglia,1,103,103038,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3086,Macugnaga,1,103,103039,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3087,Madonna del Sasso,1,103,103040,,Decreto Legislativo 30 aprile 92,,,
1992,AP,1,3,3089,Malesco,1,103,103041,,Decreto Legislativo 30 aprile 92,,,
